OrderID,PurchaseDate,OrderStatus,SalesChannel,ShipCountry,Currency,GrossAmount,NetAmount
DEMO-ORDER-001,2026-02-02,Shipped,Marketplace-DE,DE,EUR,119.00,100.00
DEMO-ORDER-002,2026-02-03,Shipped,Marketplace-DE,DE,EUR,59.50,50.00
DEMO-ORDER-003,2026-02-04,Canceled,Marketplace-DE,DE,EUR,89.25,75.00
DEMO-ORDER-004,2026-02-05,Shipped,Marketplace-DE,FR,EUR,142.80,120.00
DEMO-ORDER-005,2026-02-06,Shipped,Marketplace-FR,FR,EUR,71.40,60.00
DEMO-ORDER-006,2026-02-08,Shipped,Marketplace-DE,AT,EUR,238.00,200.00
DEMO-ORDER-007,2026-02-10,Shipped,Marketplace-DE,DE,EUR,47.60,40.00
DEMO-ORDER-008,2026-02-12,Shipped,Marketplace-DE,DE,EUR,178.50,150.00
DEMO-ORDER-009,2026-02-14,Canceled,Marketplace-DE,DE,EUR,35.70,30.00
DEMO-ORDER-010,2026-02-16,Shipped,Marketplace-IT,IT,EUR,95.20,80.00
DEMO-ORDER-011,2026-02-18,Shipped,Marketplace-DE,DE,EUR,297.50,250.00
DEMO-ORDER-012,2026-02-20,Shipped,Marketplace-DE,NL,EUR,130.90,110.00
DEMO-ORDER-013,2026-02-22,Shipped,Marketplace-NL,NL,EUR,83.30,70.00
DEMO-ORDER-014,2026-02-24,Shipped,Marketplace-DE,DE,EUR,53.55,45.00
DEMO-ORDER-015,2026-02-27,Shipped,Marketplace-DE,DE,EUR,69.02,58.00
