TransactionID,SettlementDate,TransactionType,OrderID,Marketplace,Currency,ProductSales,VAT,ShippingCredit,Fees,Total
TXN-001,2026-02-04,Order,DEMO-ORDER-001,Marketplace-DE,EUR,100.00,19.00,0.00,-15.00,104.00
TXN-002,2026-02-05,Order,DEMO-ORDER-002,Marketplace-DE,EUR,50.00,9.50,0.00,-7.50,52.00
TXN-003,2026-02-07,Order,DEMO-ORDER-004,Marketplace-DE,EUR,120.00,22.80,0.00,-18.00,124.80
TXN-004,2026-02-08,Order,DEMO-ORDER-005,Marketplace-FR,EUR,60.00,11.40,0.00,-9.00,62.40
TXN-005,2026-02-10,Order,DEMO-ORDER-006,Marketplace-DE,EUR,200.00,38.00,0.00,-30.00,208.00
TXN-006,2026-02-12,Order,DEMO-ORDER-007,Marketplace-DE,EUR,40.00,7.60,0.00,-6.00,41.60
TXN-007,2026-02-15,Order,DEMO-ORDER-008,Marketplace-DE,EUR,150.00,28.50,0.00,-22.50,156.00
TXN-008,2026-02-18,Order,DEMO-ORDER-010,Marketplace-IT,EUR,80.00,15.20,0.00,-12.00,83.20
TXN-009,2026-02-20,Order,DEMO-ORDER-011,Marketplace-DE,EUR,250.00,47.50,0.00,-37.50,260.00
TXN-010,2026-02-23,Order,DEMO-ORDER-012,Marketplace-DE,EUR,110.00,20.90,0.00,-16.50,114.40
TXN-011,2026-02-25,Order,DEMO-ORDER-013,Marketplace-NL,EUR,70.00,13.30,0.00,-10.50,72.80
TXN-012,2026-02-26,Order,DEMO-ORDER-014_1,Marketplace-DE,EUR,45.00,8.55,0.00,-6.75,46.80
TXN-013,2026-03-02,Order,DEMO-ORDER-015,Marketplace-DE,EUR,58.00,11.02,0.00,-8.70,60.32
TXN-014,2026-03-05,Refund,DEMO-ORDER-002,Marketplace-DE,EUR,-50.00,-9.50,0.00,0.00,-59.50
TXN-015,2026-03-06,Fee,DEMO-ORDER-011,Marketplace-DE,EUR,0.00,0.00,0.00,-4.50,-4.50
TXN-016,2026-02-28,Order,DEMO-ORDER-999,Marketplace-DE,EUR,25.00,4.75,0.00,-3.75,26.00
